tag,name,keyword,accessibility,summary
Lobby,「作るゾーン」,,,そこから奥へ2.5cmほどの入り口へ指を動かしてください。リング上のものがあるのがわかるでしょうか？これは5階の展示フロアの入り口を表しています。そこからさらに奥へ指を動かすと凹んでいる部分があるので触ってみてください。
Entrance_5F,5階展示の入り口,,,これから5階にある13個の展示を時計回りに順番にまわっていきます。窪んだ部分のフチを指で一週なぞるように触って、展示エリアのカタチや大きさを体感してみてください。
UniverseA,ニュートリノ,宇宙,,目にはみえない素粒子の謎を解き明かす2つの挑戦を展示しています。
UniverseC,“ちり”も積もれば世界をかえる。,ラボ,,地球深部探査せんや、小惑星探査機「はやぶさツー」、電波望遠鏡「アルマ」を展示しています。
ISS,国際宇宙ステーション,宇宙,,宇宙飛行士たちの実験や暮らしを紹介しながら、人類が宇宙を目指す意味を考える展示です。
Books,ぼくとみんなとそしてきみ,生命,,人間の脳のしくみや社会との関わり合いを学ぶことができる展示です。
Cells,細胞たち研究開発中,生命,ここでは胎児の実物大の「もけー」に触って成長の過程を実感できます。,生命の基本単位である細胞の原理やしくみ、iPS細胞など現在進行形の研究を幅広く学ぶ展示です。
Environment,地球環境とわたし。,地球,,地球上のあらゆる生命の活動を支えている「循環」という地球のしくみを紹介する展示です。
Survival,100億人でサバイバル,地球,,現代に生きる私たちを脅かす災害を理解し、どう向き合ったらよいか考える展示です。
Medicine,ともに進める医療。,生命,,画像診断技術の発展や、一人ひとりの体質にあった患者に負担の少ない治療法など、将来の医療について紹介します。
Rocket,ロケットエンジン。,宇宙,,日本の主力ロケットであるエイチツーエーロケットのエンジンの実物が展示されています。
CoStudio,コ　スタジオ,ラボ,,毎日決められた時間に、科学コミュニケーター・トークや、体験できる電子工作などさまざまなアクティビティを開催しています。
GeoScope,ジオ スコープ,地球,,気温の未来予測シミュレーションなど、地球のさまざまなデータを紹介する展示です。
OvalBridge_5F,オーバルブリッジ,,,ジオコスモスを取り囲みながら、５階と３階の展示エリアをゆるやかに繋げている回廊です。
Research,研究エリア,,,未来館の中にある研究現場です。研究室を訪れる見学ツアーなど、一般の人が研究者とコミュニケーションする機会を定期的に設けています。
OpinionBank,オピニオン バンク,ラボ,,科学や社会にまつわる問題にアンケート形式で意見を発信するコーナーです。
Dome_6F,ドームシアター,,,迫力ある全天周の立体視映像で、科学や宇宙を体験できます。
0,ロケットエンジン。,宇宙,,日本の主力ロケットであるエイチツーエーロケットのエンジンの実物が展示されています。
