tag,name,keyword,accessibility,summary
Route_Main,交差点,,,
Hollow,吹き抜け,,,
Entrance_3F,3階展示の入り口,,,詳細：ミライゲート。私たちが望む社会や暮しのかたちを描きだし、科学技術とともにどのような未来をつくっていきたいかを考えるゾーンです。
OvalBridge_3F,オーバルブリッジ,,,詳細：ジオコスモスを取り囲みながら、３階と５階の展示エリアをゆるやかに繋げている回廊。全長は125メートルです。広大な宇宙に、ぽつんと浮かぶ地球を想像しながら、その周りをゆっくり歩いてみてください。
GeoCosmos,ジオ コスモス,,,詳細：有機ELパネルを使った直径６メートルの球体型のディスプレイ。 人工衛星が撮影した地球のデータを毎日とりこみ、過去90日分のデータを10分間で表示しています。流れる雲の様子など、刻々と変化する地球の姿を眺めることができます。
Nobel_1,ノーベルQ,ラボ,,詳細：ノーベルQ。ノーベル賞受賞者たちからの問い。ノーベル賞受賞者からいただいたメッセージが並んでいます。そのほとんどが、未来館を訪れた際に書いていただいたものです。
Nobel_2,ノーベルQ,ラボ,,詳細：ノーベルQ。ノーベル賞受賞者たちからの問い。ノーベル賞受賞者からいただいたメッセージが並んでいます。そのほとんどが、未来館を訪れた際に書いていただいたものです。
Backward,未来逆算思考,イノベーション,,詳細：未来から現在を振り返りながら、現在の私たちには何ができるかを考える体験型の展示です。最初にあなたの望む未来の地球を選び、その未来への道しるべを描くゲームを体験します。
Android,アンドロイド,ロボット,オトナロイドの皮膚の触れるサンプルがあります。,詳細：アンドロイド― 人間って、なんだ。複雑な動きで生命らしさを表現する「オルタ」、見た目が人間そっくりな「オトナロイド」を展示しています。
Internet,インターネット物理モデル,情報,,詳細：インターネットで情報が伝わるしくみを、白と黒のボールの動きで視覚化した展示です。
Anagura,アナグラのうた,情報,,詳細：アナグラのうた。消えた博士と残された装置。アナグラと名付けられた展示空間では、体験者の位置情報を把握して、足元に映像が投影されます。投影されたもうひとつのあなた「ミー」と一緒に、空間情報科学を体験する展示です。
Tearoom,ゼロイチアン,アート,『AKIRA』の音世界を体験できます。,詳細：アート作品を通して、科学技術とともに変わり続ける人の認識や社会について考えるギャラリーです。2022年3月まで、「『AKIRA』の音　不朽のアニメ映画を彩る未知のサウンド」を展示しています。
DigitalNature,計算機と自然,イノベーション,３Dプリンタで出力したお茶碗を触ることができます。,詳細：計算機と自然、計算機の自然。メディアアーティストであり研究者でもある落合陽一が、監修・アートディレクションを務めた30点の展示作品を鑑賞することによって、新しい自然について体感できます。
VisionariesLab,ビジョナリーラボ,ラボ,,現在は閉鎖中です。
Sc_2,実験工房,,,詳細：不定期で、科学コミュニケーターによる実験教室やワークショップを開催しています。
Sc_1,実験工房,,,詳細：不定期で、科学コミュニケーターによる実験教室やワークショップを開催しています。
Family,"おや？""っこひろば",,,詳細：体験型の展示を楽しみながら、科学的な「モノの見方」を親子で一緒に体験する無料のスペースです。 
Paro,パロ,ロボット,,詳細：アザラシのぬいぐるみがたセラピー用ロボット「パロ」が展示されています。ドーム型の透明ケースの中に両手でだっこできるくらいの大きさのロボットが入っていて、話しかけることができます。
ASIMO,ASIMO実演,ロボット,,詳細：ここの広場ではヒューマノイドロボット「ASIMO」のショーを見ることができます。ショーの時間は土日と平日で異なりますので、スタッフにお問い合わせください。
Research,研究エリア,,,詳細：未来館の中にある研究現場です。研究室を訪れる見学ツアーなど、一般の人が研究者とコミュニケーションする機会を定期的に設けています。
